iter	Passed	Remaining
0	1	191
1	3	163
2	4	161
3	6	149
4	7	145
5	9	147
6	10	142
7	12	139
8	13	136
9	16	146
10	17	142
11	19	142
12	21	140
13	22	138
14	23	135
15	25	132
16	26	130
17	28	128
18	29	126
19	31	125
20	35	132
21	37	131
22	38	129
23	39	126
24	41	123
25	42	121
26	44	119
27	45	117
28	46	114
29	48	112
30	50	111
31	52	110
32	53	108
33	55	107
34	57	106
35	58	104
36	60	102
37	61	100
38	62	98
39	64	96
40	66	95
41	66	92
42	68	90
43	69	88
44	70	86
45	72	84
46	73	83
47	75	81
48	76	79
49	78	78
50	80	77
51	82	76
52	83	74
53	85	72
54	86	70
55	87	68
56	88	67
57	90	65
58	91	63
59	93	62
60	95	61
61	97	59
62	98	57
63	99	56
64	101	54
65	102	52
66	104	51
67	105	49
68	107	48
69	109	47
70	111	45
71	112	43
72	114	42
73	115	40
74	116	38
75	118	37
76	119	35
77	120	34
78	122	32
79	125	31
80	127	29
81	128	28
82	129	26
83	131	25
84	133	23
85	134	21
86	136	20
87	137	18
88	139	17
89	140	15
90	142	14
91	143	12
92	145	10
93	146	9
94	147	7
95	149	6
96	150	4
97	152	3
98	153	1
99	154	0
